Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
Ridge Regression (Training),0.039350444762244134,0.19836946529706667,0.14241261706401895,64.69429346594654,0.9603481051507918,0.9598027736162351,1.0687260627746582
Ridge Regression (Validation),0.03927151327647559,0.1981704147355896,0.13975229349399007,55.97527409269916,0.9610058772163605,0.9593506164941162,
Ridge Regression (Test),0.03819709087822379,0.19544076053429538,0.14232601004461137,71.07635069236493,0.9627034380126599,0.9611215283688249,
