Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
Lasso Regression (Training),0.9923975868464695,0.9961915412441874,0.8408370949319542,101.60834908046161,0.0,-0.013752975403332535,1.220411777496338
Lasso Regression (Validation),1.0073392082287551,1.0036628957118796,0.8481676857398381,102.50783345479711,-0.00022396626044574042,-0.04268245299150153,
Lasso Regression (Test),1.0241705229567117,1.0120131041427831,0.8627941256605102,101.95919141597132,-2.4832174803979257e-05,-0.042440241043555815,
