Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
LightGBM (Training),0.005764359828620536,0.0759233813039207,0.055285599129866435,27.733508729100308,0.9941914814132732,0.9941115970000202,119.79401993751526
LightGBM (Validation),0.01837317983295576,0.13554770316370454,0.09350388875997397,41.32675677785333,0.9817565973256923,0.980982183497885,
LightGBM (Test),0.018270271111184018,0.13516756678724381,0.0961985070433968,37.92024838882635,0.9821604660628158,0.9814038137261653,
LightGBM (CV),0.020781717564072176,0.14415865414213666,0.10121750196823105,0.4802983348518019,0.9790283417853424,,
