Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
CatBoost (Training),0.010462217365069757,0.1022849811314924,0.07659584572722312,37.765154073446325,0.9894576352222747,0.9893126463387937,36.27528691291809
CatBoost (Validation),0.01947935678495522,0.13956846629864217,0.09710686974338771,44.84700565588295,0.9806582337463968,0.9798371955054276,
CatBoost (Test),0.01820256370835653,0.13491687703307,0.09638841930268623,40.886260379721854,0.9822265772060599,0.9814727289309498,
