Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
LSTM (Training),0.016669190180258045,0.12910921802976752,0.09299300768722177,40.09394962517138,0.983203112944654,0.9831987296233974,108.54529881477356
LSTM (Validation),0.02530407605615664,0.15907254966258835,0.10886169050109297,50.179183672122086,0.974874656810045,0.9748549661022159,
LSTM (Test),0.02342914833973136,0.15306583008539615,0.10824934013421092,89.33523891179777,0.9771232137507743,0.9771052992744632,
LSTM (CV),0.026012432646614646,0.16128370235896325,,,,,
