Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
Random Forest (Training),0.013791253937160568,0.11743616962912477,0.0750490028596825,42.9061661647428,0.9861030960575137,0.9859119722794102,222.3095030784607
Random Forest (Validation),0.02688914370384914,0.1639790953257431,0.10674650695045988,54.09632223964989,0.9733007851326447,0.9721674307056223,
Random Forest (Test),0.025067087905085654,0.15832589145520595,0.1080065153418867,76.83996011813542,0.975523890003175,0.9744857515693781,
