Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
RNN (Training),0.02866392604788061,0.16930424108060793,0.12283698386269674,66.82346499736977,0.9711164895725254,0.9711089521219963,96.87591791152954
RNN (Validation),0.03584191300121964,0.1893196054327698,0.1320487335122018,84.75031217096705,0.9644112528455254,0.9643833619778495,
RNN (Test),0.03161298517667042,0.17780040825788454,0.12940505678349232,100.48724054741488,0.9691323178247919,0.9691081457948975,
RNN (CV),0.035551499689553887,0.1885510532708685,,,,,
