Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
Linear Regression (Training),0.0393443536224872,0.1983541116853573,0.14248144407599142,64.80897942368159,0.9603542429526544,0.9598089958311358,0.025028228759765625
Linear Regression (Validation),0.039218996109519476,0.19803786534276588,0.13961857865248875,56.015550896328435,0.9610580234334447,0.9594049762649052,
Linear Regression (Test),0.03818788393935661,0.19541720481921906,0.14231529579329202,71.07182224575067,0.962712427890116,0.9611308995461405,
