Dataset,MSE,RMSE,MAE,MAPE,R²,Adjusted R²,Training Time
XGBoost (Training),0.004926347796247248,0.07018794623186554,0.05148128263300438,26.753898433138897,0.9950359131647009,0.994967642200555,6.868794679641724
XGBoost (Validation),0.019328043409823227,0.13902533369793876,0.09645036631425316,44.609842293062414,0.9808084783343037,0.9799938178227803,
XGBoost (Test),0.018053612142577818,0.13436373075565378,0.09585189496826271,46.55072363690496,0.9823720171120435,0.9816243375768283,
